"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Smoking attributable deaths","Argyll & Bute","S12000035","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",173.25,291.25,247.94,339.74,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","City of Edinburgh","S12000036","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",654.85,291.89,269.27,315.87,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Renfrewshire","S12000038","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",346.78,369.44,330.24,411.88,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Dunbartonshire","S12000039","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",212.69,450.02,388.97,517.6,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Lothian","S12000040","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",263.37,336.21,294.05,382.41,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Angus","S12000041","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",231.26,317.17,276.29,362.23,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dundee City","S12000042","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",331.89,437.02,389.97,488.07,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Dunbartonshire","S12000045","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",143.12,215.02,180.25,254.39,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Fife","S12000047","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",716.96,348.04,322.22,375.32,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Perth & Kinross","S12000048","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",249.16,258.56,226.6,293.68,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Glasgow City","S12000049","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",1346.24,532.03,502.56,562.71,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Lanarkshire","S12000050","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",687.97,429.03,395.73,464.26,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scotland","S00000001","Scotland",2016,"2015 to 2016 calendar years; 2-year aggregates",9967.08,344.55,337.6,351.61,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Ayrshire & Arran","S08000015","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",859.85,377.41,351.84,404.31,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Borders","S08000016","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",207.25,275.25,237.73,316.84,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Dumfries & Galloway","S08000017","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",343.65,332.39,297.16,370.56,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Forth Valley","S08000019","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",535.69,336.21,307.19,367.15,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Grampian","S08000020","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",933.35,314.16,293.68,335.66,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Highland","S08000022","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",562.28,282.94,259.21,308.2,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lothian","S08000024","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",1248.89,301.81,284.78,319.58,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Orkney","S08000025","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",30.01,213.1,142.38,306.03,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Shetland","S08000026","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",38.36,312.65,217.54,433.71,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Western Isles","S08000028","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",62.31,334.88,254.1,432.44,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Fife","S08000029","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",760.12,361.44,335.44,388.86,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Tayside","S08000030","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",801.4,320.7,298.33,344.28,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",2286.41,400.35,383.51,417.71,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lanarkshire","S08000032","Health board",2016,"2015 to 2016 calendar years; 2-year aggregates",1298.01,385.35,363.64,407.97,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Clackmannanshire","S12000005","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",96.7,345.04,277.17,423.99,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dumfries & Galloway","S12000006","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",343.65,332.39,297.16,370.56,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Ayrshire","S12000008","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",277.32,402.96,355.17,455.21,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Lothian","S12000010","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",163.08,275.3,233.35,322.43,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Renfrewshire","S12000011","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",116.69,219.48,180.23,264.53,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Na h-Eileanan Siar","S12000013","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",61.9,333.01,252.43,430.39,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Falkirk","S12000014","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",280.8,344.78,304.05,389.29,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Highland","S12000017","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",385.87,276.22,248.4,306.23,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Inverclyde","S12000018","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",191.04,405.69,348.19,469.72,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Midlothian","S12000019","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",154.05,334.91,281.65,394.94,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Moray","S12000020","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",176.99,314.88,268.97,366.21,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Ayrshire","S12000021","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",343.33,421.18,376.06,470.07,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Orkney Islands","S12000023","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",30.01,213.1,142.38,306.03,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scottish Borders","S12000026","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",207.25,275.25,237.73,316.84,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Shetland Islands","S12000027","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",38.36,312.65,217.54,433.71,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Ayrshire","S12000028","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",236.46,306.54,267.85,349.14,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Lanarkshire","S12000029","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",600.82,348.21,319.62,378.58,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Stirling","S12000030","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",154.31,310.16,261.04,365.53,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeen City","S12000033","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",381.11,364.35,327.29,404.34,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeenshire","S12000034","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",374.69,275.7,247.6,306.03,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Argyll & Bute","S12000035","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",173.78,294.13,250.34,343.13,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","City of Edinburgh","S12000036","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",657.3,290.81,268.36,314.59,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Renfrewshire","S12000038","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",353.05,367.31,328.94,408.83,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Dunbartonshire","S12000039","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",204.27,427.73,368.2,493.79,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Lothian","S12000040","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",272.32,334.71,293.97,379.29,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Angus","S12000041","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",221.32,297.74,258.75,340.82,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dundee City","S12000042","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",327.03,425.3,379.29,475.24,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Dunbartonshire","S12000045","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",132.19,194.93,162.32,232.04,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Fife","S12000047","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",760.12,361.44,335.44,388.86,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Perth & Kinross","S12000048","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",254.22,258.74,227.12,293.43,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Glasgow City","S12000049","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",1295.99,503.81,475.48,533.33,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Lanarkshire","S12000050","Council area",2016,"2015 to 2016 calendar years; 2-year aggregates",696.3,424.6,391.98,459.11,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scotland","S00000001","Scotland",2017,"2016 to 2017 calendar years; 2-year aggregates",9943.57,336.89,330.1,343.78,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Ayrshire & Arran","S08000015","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",849.6,363.89,339.15,389.93,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Borders","S08000016","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",207.67,267.62,231.31,307.87,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Dumfries & Galloway","S08000017","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",337.22,320.6,286.38,357.69,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Forth Valley","S08000019","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",492.27,297.17,270.65,325.52,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Grampian","S08000020","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",919.47,303.28,283.41,324.15,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Highland","S08000022","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",522.3,257.41,235.08,281.24,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lothian","S08000024","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",1267.93,298.82,282.14,316.22,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Orkney","S08000025","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",33.45,232.88,159.18,328.31,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Shetland","S08000026","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",32.43,259.49,173.48,371.32,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Western Isles","S08000028","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",55.85,291.16,218.08,380.38,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Fife","S08000029","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",768.34,358.59,333.01,385.57,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Tayside","S08000030","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",833.41,327.85,305.44,351.43,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",2310.42,398.3,381.67,415.44,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lanarkshire","S08000032","Health board",2017,"2016 to 2017 calendar years; 2-year aggregates",1313.43,385.43,363.9,407.87,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Clackmannanshire","S12000005","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",98.4,346.54,278.44,425.66,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dumfries & Galloway","S12000006","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",337.22,320.6,286.38,357.69,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Ayrshire","S12000008","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",275.63,392.1,345.7,442.84,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Lothian","S12000010","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",175.08,290.66,247.97,338.43,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Renfrewshire","S12000011","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",106.37,191.9,156.1,233.26,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Na h-Eileanan Siar","S12000013","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",55.85,291.16,218.08,380.38,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Falkirk","S12000014","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",257.91,300.76,264.18,340.87,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Highland","S12000017","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",363.73,254.19,227.9,282.61,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Inverclyde","S12000018","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",202.6,425.25,366.7,490.23,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Midlothian","S12000019","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",151.5,315.63,265.62,372.06,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Moray","S12000020","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",169.86,295.59,251.61,344.88,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Ayrshire","S12000021","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",339.21,402.44,359.32,449.18,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Orkney Islands","S12000023","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",33.45,232.88,159.18,328.31,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scottish Borders","S12000026","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",207.67,267.62,231.31,307.87,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Shetland Islands","S12000027","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",32.43,259.49,173.48,371.32,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Ayrshire","S12000028","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",232.71,296.33,258.63,337.9,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Lanarkshire","S12000029","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",625.6,357.7,329.09,388.05,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Stirling","S12000030","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",134.53,263.56,219.24,313.94,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeen City","S12000033","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",381.62,358.4,322.18,397.48,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeenshire","S12000034","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",368.01,265.61,238.32,295.09,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Argyll & Bute","S12000035","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",155.96,260.85,220.04,306.82,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","City of Edinburgh","S12000036","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",657.16,286.11,264.07,309.46,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Renfrewshire","S12000038","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",352.03,358.29,320.93,398.72,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Dunbartonshire","S12000039","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",186.47,390.95,333.97,454.48,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Lothian","S12000040","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",282.13,330.87,291.73,373.62,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Angus","S12000041","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",220.32,286.32,248.79,327.79,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dundee City","S12000042","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",354.23,457.97,410.28,509.58,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Dunbartonshire","S12000045","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",143.17,208.72,175.11,246.79,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Fife","S12000047","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",768.34,358.59,333.01,385.57,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Perth & Kinross","S12000048","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",260.05,261.04,229.62,295.48,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Glasgow City","S12000049","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",1326.26,508.43,480.24,537.78,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Lanarkshire","S12000050","Council area",2017,"2016 to 2017 calendar years; 2-year aggregates",688.04,415.46,383.28,449.51,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scotland","S00000001","Scotland",2018,"2017 to 2018 calendar years; 2-year aggregates",9841.72,327.76,321.13,334.49,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Ayrshire & Arran","S08000015","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",853.55,361.95,337.33,387.85,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Borders","S08000016","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",212.22,267.1,231.13,306.92,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Dumfries & Galloway","S08000017","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",313.83,292.17,259.93,327.22,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Forth Valley","S08000019","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",459.3,272.79,247.61,299.77,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Grampian","S08000020","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",908.41,293.72,274.42,313.98,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Highland","S08000022","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",524.11,250.98,229.29,274.12,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lothian","S08000024","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",1232.39,283.72,267.68,300.45,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Orkney","S08000025","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",34.87,245.15,168.28,344.17,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Shetland","S08000026","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",29.13,234.54,152.62,342.63,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Western Isles","S08000028","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",56.64,290.48,218.37,378.39,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Fife","S08000029","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",745.95,341.99,317.28,368.07,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Tayside","S08000030","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",810.72,314.22,292.45,337.15,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",2331.91,397.97,381.46,415,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lanarkshire","S08000032","Health board",2018,"2017 to 2018 calendar years; 2-year aggregates",1339.48,384.63,363.41,406.72,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Clackmannanshire","S12000005","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",92.37,318.02,254.22,392.51,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dumfries & Galloway","S12000006","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",313.83,292.17,259.93,327.22,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Ayrshire","S12000008","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",272.58,382.3,336.82,432.06,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Lothian","S12000010","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",175.18,285.52,243.63,332.38,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Renfrewshire","S12000011","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",113.95,200.08,164.12,241.41,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Na h-Eileanan Siar","S12000013","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",56.64,290.48,218.37,378.39,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Falkirk","S12000014","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",244.72,280.26,245.21,318.81,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Highland","S12000017","Council area",2018,"2017 to 2018 calendar years; 2-year aggregates",371.72,252.75,226.97,280.6,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
